GeneID,Pseudo_bulk_expression
Pyap00360,0.030371463600000002
Pyap00361,0.0
Pyap00362,0.0121787168
Pyap00363,0.0887118504
Pyap00364,0.043781281400000004
Pyap00365,0.20654670999999997
Pyap00366,9.74636e-05
Pyap00367,0.0
Pyap00368,0.082796479
Pyap00369,0.0
Pyap00370,0.056715065800000006
Pyap00371,0.033030102799999995
Pyap00372,0.12066786840000002
Pyap00373,0.0005949882
Pyap00374,0.186183087
Pyap00375,0.0218251858
Pyap00376,8.12404e-05
Pyap00377,1.602e-05
Pyap00378,0.008744636
Pyap00379,0.8074366376000001
Pyap00380,0.0016157256000000001
Pyap00381,1.5058571448000002
Pyap00382,1.1868219366000001
Pyap00383,0.8628002744
Pyap00384,0.36586640039999996
Pyap00385,0.6487362064000001
Pyap00386,0.5488507018
Pyap00387,1.1489599312
Pyap00388,1.1535522538
Pyap00389,0.065064389
Pyap00390,0.035486778
Pyap00391,8.6376703432
Pyap00392,0.0013917468
Pyap00393,0.0014195554
Pyap00394,0.084980164
Pyap00395,0.039407730599999996
Pyap00396,0.027677681399999998
Pyap00397,0.0
Pyap00398,0.7626935042
Pyap00399,1.592e-05
Pyap00400,8.671119999999999e-05
Pyap00401,0.0
Pyap00402,0.6461413796000001
Pyap00403,0.3003647914
Pyap00404,0.0006018530000000001
Pyap00405,0.0023620878
Pyap00406,0.3401106104
Pyap00407,0.21338559000000004
Pyap00408,1.0645335754
Pyap00409,0.000838218
Pyap00410,0.3585741322
Pyap00411,0.8300566220000001
Pyap00412,0.0002039202
Pyap00413,0.0022545108
Pyap00414,0.0010901512
Pyap00415,1.0529000792
Pyap00416,0.0127271378
Pyap00417,0.318152837
Pyap00418,0.0217719232
Pyap00419,0.41951735900000003
Pyap00420,0.6145999397999999
Pyap00421,1.4175849664000002
Pyap00422,0.2642098746
Pyap00423,0.0
Pyap00424,0.018781790399999998
Pyap00425,0.39290124400000004
Pyap00426,4.027815206800001
Pyap00427,4.345262662800001
Pyap00428,1.5803691272
Pyap00429,5.3232802565999995
Pyap00430,0.00044601520000000003
Pyap00431,1.2702914434
Pyap00432,0.41813747079999997
Pyap00433,0.0016473592000000002
Pyap00434,0.201966107
Pyap00435,2.749056989
Pyap00436,0.0035828116
Pyap00437,0.0007107024
Pyap00438,0.001899897
Pyap00439,0.8006686136000001
Pyap00440,0.466031894
Pyap00441,0.0
Pyap00442,0.26394319820000006
Pyap00443,0.377510519
Pyap00444,0.0876207056
Pyap00445,0.0031840441999999997
Pyap00446,0.0100346074
Pyap00447,0.084416715
Pyap00448,0.6222418876
Pyap00449,5.7322044818
Pyap00450,2.7153303317999997
Pyap00451,2.130874075
Pyap00452,0.0001142278
Pyap00453,1.4342332625999998
Pyap00454,0.1698488228
Pyap00455,0.40145587359999996
Pyap00456,0.026557356600000005
Pyap00457,1.3983714326
Pyap00458,0.0009630068
Pyap00459,0.010754669599999999
Pyap00460,0.0
Pyap00461,0.0
Pyap00462,1.498e-05
Pyap00463,0.0038066072
Pyap00464,5.5203999999999995e-05
Pyap00465,0.0166050296
Pyap00466,0.013875878599999999
Pyap00467,7.740920142
Pyap00468,0.0130232892
Pyap00469,0.0
Pyap00470,0.37935286200000007
Pyap00471,3.9247090475999995
Pyap00472,0.0694709436
Pyap00473,0.0235460582
Pyap00474,0.019817135800000003
Pyap00475,0.0084636154
Pyap00476,2.3580128700000005
Pyap00477,0.2170069754
Pyap00478,0.022452764
Pyap00479,0.3421024346
